time,accel_x,accel_y,accel_z
348.9,3.333423,-0.326806,-8.366239
348.92,3.202701,-0.588251,-8.104794
348.94,3.235381,-0.490209,-7.777988
348.96,3.627549,-0.490209,-7.679946
348.98,3.69291,-0.130722,-8.006752
349,3.366104,-0.457529,-7.90871
349.02,3.235381,-0.849696,-7.647265
349.04,3.496826,-0.490209,-7.549223
349.06,3.660229,-0.032681,-7.38582
349.08,3.464146,-0.326806,-7.353139
349.1,3.235381,-0.718974,-7.124375
349.12,3.464146,-0.457529,-6.86293
349.14,3.398784,-0.032681,-6.699527
349.16,3.13734,-0.424848,-6.34004
349.18,3.13734,-0.653612,-5.980554
349.2,3.202701,-0.326806,-5.751789
349.22,3.17002,-0.359487,-5.555706
349.24,3.235381,-0.849696,-5.359622
349.26,3.496826,-0.359487,-5.392302
349.28,3.235381,-0.130722,-5.392302
349.3,3.202701,-0.686293,-5.130858
349.32,3.366104,-0.261445,-5.555706
349.34,3.333423,-0.098042,-5.980554
349.36,3.268062,-0.457529,-6.013234
349.38,3.202701,-0.261445,-6.241998
349.4,3.300743,-0.424848,-7.255097
349.42,3.562188,-0.424848,-8.202836
349.44,3.529507,-0.392167,-8.856448
349.46,3.529507,-0.392167,-8.889129
349.48,3.464146,-0.228764,-8.823768
349.5,3.398784,-0.359487,-8.398919
349.52,3.300743,-0.228764,-8.006752
349.54,3.300743,-0.065361,-7.87603
349.56,3.268062,0,-7.810668
349.58,3.17002,-0.196084,-7.516542
349.6,3.300743,-0.130722,-7.418501
349.62,3.104659,-0.163403,-6.960972
349.64,3.071978,-0.065361,-6.895611
349.66,3.235381,0.065361,-6.86293
349.68,3.333423,-0.261445,-6.568805
349.7,3.268062,-0.032681,-6.470763
349.72,3.333423,-0.032681,-6.634166
349.74,3.202701,0,-6.666846
349.76,3.202701,-0.065361,-6.666846
349.78,3.202701,-0.032681,-7.091694
349.8,3.300743,-0.130722,-7.549223
349.82,3.398785,-0.098042,-8.104794
349.84,3.464146,-0.228764,-8.464281
349.86,3.366104,-0.261445,-8.235516
349.88,3.464146,-0.228764,-8.496961
349.9,3.529507,-0.326806,-8.4316
349.92,3.268062,-0.392167,-8.333558
349.94,3.333423,-0.163403,-8.170155
349.96,3.268062,-0.392167,-7.679946
349.98,3.202701,-0.294126,-7.581904
350,3.268062,-0.294126,-7.483862
350.02,3.202701,-0.359487,-6.764888
350.04,3.104659,-0.228764,-5.81715
350.06,3.006617,-0.228764,-5.719109
350.08,3.104659,-0.392167,-5.294261
350.1,3.071978,-0.359487,-5.294261
350.12,3.071978,-0.457529,-5.326941
350.14,3.006617,-0.457529,-5.294261
350.16,3.17002,-0.424848,-5.294261
350.18,3.104659,-0.424848,-5.130858
350.2,3.039298,-0.490209,-5.26158
350.22,3.104659,-0.392167,-5.326941
350.24,3.006617,-0.359487,-4.804051
350.26,3.13734,-0.392167,-4.804051
350.28,3.071978,-0.326806,-5.065496
350.3,3.13734,-0.359487,-5.555706
350.32,3.235381,-0.294126,-6.078595
350.34,3.300743,-0.392167,-6.666846
350.36,3.398785,-0.424848,-7.255097
350.38,3.431465,-0.424848,-7.287778
350.4,3.398785,-0.490209,-7.549223
350.42,3.496826,-0.52289,-7.87603
350.44,3.464146,-0.392167,-7.777988
350.46,3.431465,-0.457529,-7.679946
350.48,3.431465,-0.457529,-8.072114
350.5,3.529507,-0.359487,-8.137475
350.52,3.464146,-0.52289,-8.072114
350.54,3.529507,-0.359487,-7.974071
350.56,3.431465,-0.424848,-7.647265
