time,gyro_x,gyro_y,gyro_z
257.38,0.106465,-0.153589,0.000873
257.4,0.388336,-0.155334,0.015708
257.42,0.586431,-0.14748,0.038397
257.44,0.71384,-0.154462,0.055851
257.46,0.652753,-0.15708,0.058469
257.48,0.724312,-0.143117,0.058469
257.5,0.728675,-0.141372,0.05236
257.52,0.613483,-0.132645,0.041015
257.54,0.533198,-0.120428,0.032289
257.56,0.484329,-0.111701,0.030543
257.58,0.458149,-0.097738,0.02618
257.6,0.398808,-0.068068,0.019199
257.62,0.376118,-0.030543,0.017453
257.64,0.30456,-0.002618,0.013963
257.66,0.20944,0.011345,0.006109
257.68,0.161443,0.015708,-0.001745
257.7,0.171915,0.03927,-0.006109
257.72,0.17366,0.077667,-0.007854
257.74,0.089012,0.107338,-0.01309
257.76,-0.019199,0.10821,-0.014835
257.78,-0.143117,0.102974,-0.016581
257.8,-0.195477,0.082903,-0.020071
257.82,-0.152716,0.095993,-0.005236
257.84,-0.109083,0.126536,-0.004363
257.86,-0.135263,0.153589,-0.003491
257.88,-0.229511,0.17017,-0.018326
257.9,-0.375246,0.154462,-0.02618
257.92,-0.561996,0.11781,-0.030543
257.94,-0.634427,0.102974,-0.035779
257.96,-0.58294,0.089884,-0.029671
257.98,-0.437205,0.089012,-0.014835
258,-0.299324,0.087266,-0.000873
258.02,-0.303687,0.07854,-0.000873
258.04,-0.294961,0.096866,0.012217
258.06,-0.165806,0.130027,0.018326
258.08,-0.18675,0.148353,0.029671
258.1,-0.127409,0.185878,0.032289
258.12,-0.129154,0.201586,0.041888
258.14,-0.138754,0.219039,0.041888
258.16,-0.193732,0.253073,0.035779
258.18,-0.246091,0.251327,0.031416
258.2,-0.332485,0.254818,0.021817
258.22,-0.306305,0.264417,0.024435
258.24,-0.257436,0.267035,0.03927
258.26,-0.161443,0.269653,0.058469
258.28,-0.113446,0.257436,0.059341
258.3,-0.153589,0.23911,0.068941
258.32,-0.123046,0.222529,0.075049
